market_type,instrument_type,exchange_code,stock_code,standard_code,stock_name,stock_name_en,currency_code,etf_yn,nxt_yn
KOSPI,STOCK,KRX,004310,KR7004310009,현대약품,,KRW,N,N
KOSPI,STOCK,KRX,004360,KR7004360004,세방,,KRW,N,N
KOSPI,STOCK,KRX,004365,KR7004361002,세방우,,KRW,N,N
KOSPI,STOCK,KRX,004370,KR7004370003,농심,,KRW,N,N
KOSPI,STOCK,KRX,004380,KR7004380002,삼익THK,,KRW,N,N
KOSPI,STOCK,KRX,004410,KR7004410007,서울식품,,KRW,N,N
KOSPI,STOCK,KRX,004415,KR7004411005,서울식품우,,KRW,N,N
KOSPI,STOCK,KRX,004430,KR7004430005,송원산업,,KRW,N,N
KOSPI,STOCK,KRX,004440,KR7004440004,삼일씨엔에스,,KRW,N,N
KOSPI,STOCK,KRX,004450,KR7004450003,삼화왕관,,KRW,N,N
KOSPI,STOCK,KRX,004490,KR7004490009,세방전지,,KRW,N,N
KOSPI,STOCK,KRX,004540,KR7004540001,깨끗한나라,,KRW,N,N
KOSPI,STOCK,KRX,004545,KR7004541009,깨끗한나라우,,KRW,N,N
KOSPI,STOCK,KRX,004560,KR7004560009,현대비앤지스틸,,KRW,N,N
KOSPI,STOCK,KRX,004690,KR7004690004,삼천리,,KRW,N,N
KOSPI,STOCK,KRX,004700,KR7004700001,조광피혁,,KRW,N,N
KOSPI,STOCK,KRX,004710,KR7004710000,한솔테크닉스,,KRW,N,N
KOSPI,STOCK,KRX,004720,KR7004720009,팜젠사이언스,,KRW,N,N
KOSPI,STOCK,KRX,004770,KR7004770004,써니전자,,KRW,N,N
KOSPI,STOCK,KRX,004800,KR7004800009,효성,,KRW,N,N
KOSPI,STOCK,KRX,004830,KR7004830006,덕성,,KRW,N,N
KOSPI,STOCK,KRX,004835,KR7004831004,덕성우,,KRW,N,N
KOSPI,STOCK,KRX,004840,KR7004840005,DRB동일,,KRW,N,N
KOSPI,STOCK,KRX,004870,KR7004870002,티웨이홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,004890,KR7004890000,동일산업,,KRW,N,N
KOSPI,STOCK,KRX,004910,KR7004910006,조광페인트,,KRW,N,N
KOSPI,STOCK,KRX,004920,KR7004920005,씨아이테크,,KRW,N,N
KOSPI,STOCK,KRX,004960,KR7004960001,한신공영,,KRW,N,N
KOSPI,STOCK,KRX,004970,KR7004970000,신라교역,,KRW,N,N
KOSPI,STOCK,KRX,004980,KR7004980009,성신양회,,KRW,N,N
KOSPI,STOCK,KRX,004985,KR7004981007,성신양회우,,KRW,N,N
KOSPI,STOCK,KRX,004990,KR7004990008,롯데지주,,KRW,N,N
KOSPI,STOCK,KRX,005010,KR7005010004,휴스틸,,KRW,N,N
KOSPI,STOCK,KRX,005030,KR7005030002,부산주공,,KRW,N,N
KOSPI,STOCK,KRX,005070,KR7005070008,코스모신소재,,KRW,N,N
KOSPI,STOCK,KRX,005090,KR7005090006,SGC에너지,,KRW,N,N
KOSPI,STOCK,KRX,005110,KR7005110002,한창,,KRW,N,N
KOSPI,STOCK,KRX,005180,KR7005180005,빙그레,,KRW,N,N
KOSPI,STOCK,KRX,005250,KR7005250006,녹십자홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,005257,KR7005252002,녹십자홀딩스2우,,KRW,N,N
KOSPI,STOCK,KRX,005300,KR7005300009,롯데칠성,,KRW,N,N
KOSPI,STOCK,KRX,005305,KR7005301007,롯데칠성우,,KRW,N,N
KOSPI,STOCK,KRX,005320,KR7005320007,온타이드,,KRW,N,N
KOSPI,STOCK,KRX,005360,KR7005360003,모나미,,KRW,N,N
KOSPI,STOCK,KRX,005380,KR7005380001,현대차,,KRW,N,N
KOSPI,STOCK,KRX,005385,KR7005381009,현대차우,,KRW,N,N
KOSPI,STOCK,KRX,005387,KR7005382007,현대차2우B,,KRW,N,N
KOSPI,STOCK,KRX,005389,KR7005383005,현대차3우B,,KRW,N,N
KOSPI,STOCK,KRX,005420,KR7005420005,코스모화학,,KRW,N,N
KOSPI,STOCK,KRX,005430,KR7005430004,한국공항,,KRW,N,N
KOSPI,STOCK,KRX,005440,KR7005440003,현대지에프홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,005490,KR7005490008,POSCO홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,005500,KR7005500004,삼진제약,,KRW,N,N
KOSPI,STOCK,KRX,005610,KR7005610001,SPC삼립,,KRW,N,N
KOSPI,STOCK,KRX,005680,KR7005680004,삼영전자,,KRW,N,N
KOSPI,STOCK,KRX,005690,KR7005690003,파미셀,,KRW,N,N
KOSPI,STOCK,KRX,005720,KR7005720008,넥센,,KRW,N,N
KOSPI,STOCK,KRX,005725,KR7005721006,넥센우,,KRW,N,N
KOSPI,STOCK,KRX,005740,KR7005740006,크라운해태홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,005745,KR7005741004,크라운해태홀딩스우,,KRW,N,N
KOSPI,STOCK,KRX,005750,KR7005750005,대림바스,,KRW,N,N
KOSPI,STOCK,KRX,005800,KR7005800008,신영와코루,,KRW,N,N
KOSPI,STOCK,KRX,005810,KR7005810007,풍산홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,005820,KR7005820006,원림,,KRW,N,N
